"","Date","N1","LoessN1","DetrendedN1"
"242",315,65218,93928.5081063684,-28710.5081063684
"243",311,71896,85338.9425079693,-13442.9425079693
"244",316,260334,96277.7066967528,164056.293303247
"245",317,75901,98626.9052871373,-22725.9052871373
"246",318,87029,100976.103877522,-13947.1038775217
"247",320,113258,106010.249282761,7247.75071723855
"248",321,99608,108527.321985381,-8919.32198538131
"249",322,95907,111044.394688001,-15137.3946880012
"250",323,124358,113717.201857535,10640.7981424647
"251",324,62778,116390.009027069,-53612.0090270694
"252",325,89591,119062.816196604,-29471.8161966035
"253",327,62114,124764.496441652,-62650.4964416522
"254",328,87756,127615.336564177,-39859.3365641766
"255",329,126164,130466.176686701,-4302.17668670096
"256",330,62758,133522.973452425,-70764.9734524247
"257",331,119585,136579.770218148,-16994.7702181484
"258",335,171419,149407.933124352,22011.0668756483
"259",336,86378,152665.055171178,-66287.0551711782
"260",332,173273,139636.566983872,33636.4330161278
"261",334,136877,146150.811077525,-9273.81107752517
"262",337,61019,156112.999116736,-95093.9991167359
"263",338,218636,159560.943062294,59075.0569377065
"264",343,256526,177191.482551772,79334.5174482276
"265",339,217331,163008.887007851,54322.1129921488
"266",341,149752,170100.184779812,-20348.1847798118
"267",342,324506,173645.833665792,150860.166334208
"268",344,126779,180686.484378698,-53907.4843786977
"269",345,249618,184181.486205623,65436.513794377
"270",346,141847,187676.488032548,-45829.4880325484
"271",348,183341,194429.619464897,-11088.6194648975
"272",350,147790,201182.750897247,-53392.7508972466
"273",349,262127,197806.185181072,64320.814818928
"274",351,102833,204295.192912004,-101462.192912004
"275",352,106933,207407.634926762,-100474.634926762
"276",356,196050,219033.230116913,-22983.2301169129
"277",357,105584,221870.947842044,-116286.947842044
"278",353,408655,210520.07694152,198134.92305848
"279",355,232159,216195.512391782,15963.4876082182
"280",358,432922,224397.314008189,208524.685991811
"281",359,139546,226923.680174334,-87377.6801743341
"282",360,170266,229450.046340479,-59184.0463404792
"283",362,219112,233656.10442527,-14544.1044252699
"284",363,205525,235759.133467665,-30234.1334676653
"285",364,385539,237862.162510061,147676.837489939
"286",365,193513,239461.142879543,-45948.1428795431
"287",366,201776,241060.123249025,-39284.1232490253
"288",370,483836,245946.004718668,237889.995281332
"289",371,329224,247041.638418721,82182.3615812786
"290",369,304222,244850.371018615,59371.6289813855
"291",367,352019,242659.103618508,109359.896381492
"292",372,130846,247713.278010346,-116867.278010346
"293",373,309996,248384.91760197,61611.0823980301
"294",374,296724,249056.557193594,47667.4428064059
"295",376,292246,249831.004026164,42414.9959738358
"296",377,300832,250218.227442449,50613.7725575507
"297",378,490641,250605.450858734,240035.549141266
"298",379,562628,250678.964847995,311949.035152005
"299",380,441660,250752.478837255,190907.521162745
"300",385,120399,252694.424320506,-132295.424320506
"301",384,244225,252227.316447008,-8002.31644700826
"302",383,136761,251760.208573511,-114999.208573511
