"","Date","FlowRate","BCoV","N1","N2","N1Error","N2Error","PMMoV","LoessN1","LoessN2","DeTrendedN1","DeTrendedN2"
"90",2021-01-25,37.28,11.44,135003,233165,5598,34045,31732106,224953.259135076,234023.323158313,-89950.2591350761,-858.323158312996
"91",2021-01-26,37.74,6.93,1831813,1686654,71019,109236,29748189,224092.946188797,230179.532259964,1607720.0538112,1456474.46774004
"92",2021-01-28,37.07,2.398,231625,265869,25211,31118,41230863,220818.336185773,222326.788199478,10806.6638142271,43542.2118005221
"93",2021-01-27,36.17,2.059,1357329,1323010,76136,84088,30102158,222455.641187285,226253.160229721,1134873.35881272,1096756.83977028
"94",2021-01-31,36.3,3.75643,256082,233472,16022,14014,26460001,216973.728672926,207121.602548794,39108.2713270739,26350.3974512064
"95",2021-02-01,36.28,1.862,149707,108584,22588,11836,27005372,215692.19283531,202053.207331899,-65985.1928353104,-93469.2073318988
"96",2021-02-02,37.18,2.335,145702,127801,14837,11359,27110106,218558.003659725,198382.163622708,-72856.003659725,-70581.1636227081
"97",2021-02-03,36.99,4.44,281764,201201,34849,17195,37684050,221423.81448414,194711.119913517,60340.1855158604,6489.88008648268
"98",2021-02-04,37.1,6.29,302618,259446,22289,19251,29934363,224289.625308554,191040.076204327,78328.3746914458,68405.9237956734
"99",2021-02-05,36.62,3.038,204916,173108,23717,17830,26965209,227155.436132969,187369.032495136,-22239.4361329688,-14261.0324951358
"100",2021-02-07,36.3,2.997,216896,170408,14306,14940,29961719,219572.358674557,178769.27567511,-2676.35867455695,-8361.27567510982
"101",2021-02-08,37.46,3.578,140991,106573,18249,13238,43237936,215780.819945351,174469.397265097,-74789.819945351,-67896.3972650968
"102",2021-02-09,37.19,5.44,288170,229435,30394,31067,33969071,211989.281216145,170169.518855084,76180.7187838549,59265.4811449162
"103",2021-02-10,37.22,5.881,354811,325463,28718,22644,35370490,208356.971230085,167204.103179327,146454.028769915,158258.896820673
"104",2021-02-11,36.77,8.024,388671,275233,25836,23195,33689951,204724.661244025,164238.687503571,183946.338755975,110994.312496429
"105",2021-02-12,36.84,1.44,153317,96751,8627,6929,23215518,201092.351257965,161273.271827814,-47775.3512579651,-64522.2718278139
"106",2021-02-14,36.48,1.92,104479,78782,25758,23033,23957841,192574.661929907,154723.850236212,-88095.6619299071,-75941.8502362122
